Customer_Age,Income,Total_Spending,Recency,Customer_Tenure,Family_Size,Total_Children,Total_Purchases,Total_Campaign_Acceptance,NumWebPurchases,NumStorePurchases,NumCatalogPurchases
53,51381.5,109,25,5067,3,1,9,0,3,3,0
67,65031.0,863,29,4883,3,1,30,0,10,13,3
51,60631.0,661,88,4864,4,2,24,1,9,8,2
74,28332.0,65,58,4474,2,0,8,0,2,4,1
49,40246.0,13,68,4971,2,1,4,0,1,2,0
54,75251.0,1890,34,5085,2,0,19,1,7,5,6
50,75825.0,2209,40,5039,1,0,22,2,5,9,8
50,26326.0,18,12,4712,2,0,4,0,0,3,0
61,56046.0,692,9,4957,2,0,21,2,10,8,1
41,29760.0,165,87,5083,2,1,12,0,3,4,1
57,26304.0,16,5,4785,3,1,4,0,1,2,0
53,23559.0,79,87,4775,3,1,9,0,3,3,0
63,38620.0,318,56,4828,2,0,11,0,2,3,5
39,81361.0,778,18,4538,1,0,27,0,3,13,10
66,29440.0,56,95,4736,4,2,7,0,1,4,0
56,36138.0,151,48,4762,4,2,13,1,3,4,1
69,50388.0,372,3,4446,2,1,17,3,6,6,1
53,79593.0,1366,70,4462,2,0,19,1,5,7,6
59,54178.0,194,79,4573,3,1,10,0,2,5,2
69,51381.5,603,4,5001,5,3,29,0,7,8,2
69,51381.5,18,45,4447,3,2,4,0,1,2,0
53,51381.5,985,87,4632,2,0,15,0,2,8,4
54,42394.0,32,69,4512,2,1,5,0,1,3,0
56,23626.0,43,84,4450,3,1,10,0,3,3,1
43,30096.0,45,30,4452,3,1,6,0,2,3,0
66,47916.0,606,72,4998,2,1,22,1,7,6,4
54,51813.0,63,37,4858,3,2,7,0,2,3,0
75,78497.0,978,44,4624,2,0,25,1,5,12,7
43,50150.0,410,32,4788,2,0,16,0,5,7,2
66,47823.0,72,0,4755,2,1,7,0,2,3,0
67,34554.0,55,43,4505,2,1,7,0,2,3,0
47,85693.0,1169,59,4849,3,1,27,0,9,11,5
81,65846.0,1120,68,4822,2,0,16,0,6,6,3
67,87195.0,1097,35,4466,2,0,20,1,3,5,11
47,24594.0,29,94,4615,3,1,5,0,1,3,0
62,49096.0,187,15,4692,4,2,13,0,4,4,1
57,52413.0,910,56,4926,4,2,26,0,6,12,4
48,38557.0,145,17,4971,2,1,9,0,3,3,1
66,89058.0,850,18,4983,2,0,14,0,5,4,4
47,77298.0,969,46,4653,3,1,24,0,6,11,6
35,68126.0,1820,40,5010,1,0,17,2,7,5,4
63,57288.0,608,27,4418,3,1,20,1,8,8,1
35,86037.0,730,95,4957,1,0,25,3,6,11,7
46,43974.0,551,19,4978,3,1,21,0,6,6,4
64,50785.0,114,27,4706,3,2,8,0,2,3,1
56,90765.0,1724,25,4570,2,0,15,2,4,5,6
48,36550.0,577,74,4909,3,1,20,0,9,5,1
59,30753.0,81,85,4767,4,2,7,0,1,3,1
57,21918.0,33,37,4641,3,1,7,0,2,3,0
73,56129.0,660,65,4788,3,1,22,0,6,10,2
59,32557.0,80,13,4539,2,1,9,1,2,3,1
41,19510.0,30,63,4712,4,2,6,0,1,3,0
50,30992.0,43,83,4847,2,1,5,0,1,3,0
43,101970.0,1135,69,4888,1,0,27,4,6,13,8
61,71488.0,559,87,4910,2,0,16,0,3,7,4
42,79607.0,1923,37,4848,1,0,16,1,3,6,6
73,54348.0,90,51,4435,4,2,8,0,2,4,0
65,51381.5,404,23,4767,3,1,17,0,6,7,1
70,77376.0,661,72,4464,4,2,23,0,6,10,3
74,62998.0,463,10,4686,3,1,19,0,5,5,4
68,61331.0,632,42,4890,3,2,23,0,11,6,1
57,73448.0,725,10,4553,2,0,19,0,7,9,2
63,51381.5,725,96,4736,3,1,19,0,6,7,5
62,41551.0,279,51,4733,4,2,16,0,5,5,1
59,62981.0,1482,21,4883,2,0,23,1,4,13,5
50,9548.0,29,31,5104,2,1,6,0,1,3,0
67,33762.0,106,61,4771,5,3,9,0,2,2,2
53,35860.0,49,37,4455,3,2,6,2,1,2,1
61,36921.0,38,74,4750,3,2,7,0,2,3,0
34,92859.0,2077,46,5032,1,0,22,0,5,12,4
50,65104.0,1053,4,4641,3,1,17,1,3,7,5
64,86111.0,1385,73,4850,2,0,23,0,5,10,7
52,68352.0,871,47,4719,2,1,25,0,8,9,5
38,41883.0,312,13,4881,3,1,12,0,4,3,2
50,59809.0,877,36,5033,4,2,15,0,3,6,3
51,23957.0,68,47,5023,3,1,6,1,2,3,0
45,38547.0,22,49,4719,3,1,4,0,1,2,0
53,35688.0,211,94,5090,5,3,16,0,4,4,1
60,49605.0,127,65,4422,2,0,8,0,2,4,1
73,59354.0,459,59,4480,4,2,16,0,4,7,4
57,65747.0,460,96,4528,3,1,19,1,8,6,1
54,46344.0,429,28,4976,3,1,17,0,7,5,1
38,34176.0,89,12,4462,2,1,11,0,3,4,0
74,61010.0,1021,57,5042,3,1,26,0,8,11,5
77,69372.0,1381,10,4909,2,0,21,3,10,6,4
68,49967.0,306,4,4770,2,1,15,0,6,5,1
48,60199.0,18,49,4704,4,3,4,0,0,3,0
49,55375.0,162,3,4669,3,1,9,0,1,6,1
71,80317.0,1231,64,4727,1,0,18,0,3,10,4
68,30523.0,13,0,4777,4,3,4,0,1,2,0
81,70356.0,1706,20,5015,2,0,27,0,10,9,6
42,23228.0,121,91,4589,3,1,11,0,3,4,0
51,74165.0,1293,9,4838,1,0,20,0,5,10,4
53,117418.0,1608,98,4534,3,1,37,0,0,0,22
60,43482.0,88,83,4642,5,3,9,0,2,4,0
73,62551.0,421,27,4637,1,0,18,1,6,4,7
67,52332.0,259,63,4719,1,0,12,1,3,6,2
38,66951.0,1117,46,4653,1,0,15,0,3,7,4
69,26091.0,89,84,4538,4,2,9,0,2,3,1
61,33456.0,36,58,4483,4,2,6,0,1,3,0
44,28718.0,57,78,4765,3,1,7,0,2,3,0
56,50447.0,148,4,4483,4,2,8,0,3,3,1
67,53537.0,93,17,4564,4,2,8,0,2,3,1
59,52074.0,119,77,4500,2,1,7,1,2,2,2
51,80427.0,1835,56,5069,3,1,28,0,11,8,8
78,83837.0,1318,79,4974,2,0,25,3,9,5,10
56,38853.0,45,90,4451,4,2,7,0,2,3,0
67,38285.0,10,96,4419,5,3,4,0,0,3,0
75,78497.0,978,44,4624,2,0,25,1,5,12,7
50,51650.0,191,81,4463,3,1,10,0,4,4,1
38,16248.0,57,77,4464,3,1,9,0,2,3,1
80,66835.0,1033,21,4688,2,0,24,0,6,13,4
42,30477.0,66,16,4572,3,1,6,0,1,3,1
65,28249.0,43,80,4428,2,0,6,0,2,3,0
43,25271.0,50,45,4985,3,1,5,0,1,2,1
56,32303.0,39,63,4527,2,1,7,0,1,4,0
60,61286.0,608,34,4745,3,1,18,0,7,8,1
50,74068.0,1581,14,4881,2,0,24,0,4,9,10
62,45759.0,68,13,4905,4,2,7,0,2,3,0
48,24882.0,80,52,5072,3,1,5,1,1,2,1
37,66973.0,1282,98,4822,2,0,28,0,8,12,7
38,38872.0,91,93,4809,3,1,8,0,3,3,0
53,51148.0,315,38,4910,4,2,16,0,5,6,1
49,31353.0,31,24,4596,4,2,6,0,1,2,1
46,69661.0,834,80,4461,2,0,23,0,7,12,3
72,80067.0,1600,82,4697,2,0,17,1,4,6,6
72,86718.0,1270,20,4942,2,0,17,0,5,5,6
53,46854.0,263,81,4504,3,2,15,2,5,3,1
74,69142.0,535,50,4414,2,1,19,1,8,7,1
58,75922.0,1295,60,4616,1,0,18,0,4,9,4
48,63693.0,1150,63,4672,2,1,29,0,11,9,6
49,102160.0,1240,54,5018,2,0,26,4,7,10,9
61,40637.0,38,72,4761,3,2,6,0,1,3,0
42,18890.0,35,5,5010,1,0,4,2,0,2,1
38,29604.0,53,88,4617,3,1,5,1,1,3,0
63,48721.0,293,50,4826,3,2,17,0,4,5,2
60,44794.0,65,99,4435,3,1,6,0,2,3,0
72,64497.0,1804,17,5071,2,1,29,2,11,9,4
70,46097.0,241,11,4869,3,1,15,0,3,6,1
72,77972.0,1101,18,4517,2,0,20,0,4,9,6
58,44377.0,264,70,5046,4,2,19,0,5,5,1
52,46014.0,541,21,4938,4,2,26,0,7,8,1
41,70951.0,1198,66,4835,2,0,17,0,3,9,4
49,41443.0,482,79,4503,3,1,20,0,8,5,1
48,52195.0,17,2,4462,4,3,4,0,1,2,0
78,83790.0,1615,81,4640,2,0,25,2,8,6,10
72,44551.0,285,24,4716,2,1,12,0,4,5,1
46,69508.0,1135,48,5006,3,1,28,0,11,11,4
38,45204.0,114,93,4493,3,1,7,0,1,4,1
57,72460.0,1047,56,4641,2,0,16,0,3,7,5
56,77622.0,714,3,4490,4,2,22,0,6,11,3
46,30732.0,185,44,4954,3,1,13,0,4,4,1
64,63887.0,1245,38,5073,2,1,32,0,9,12,6
48,42011.0,189,46,4874,3,1,12,0,3,4,1
50,51369.0,576,84,5026,3,1,16,0,8,4,2
74,51537.0,1103,27,4981,2,1,18,0,2,11,2
54,79930.0,1753,72,5104,2,0,17,0,3,8,5
40,34320.0,17,66,4547,3,1,4,0,1,2,0
60,37070.0,433,30,4880,3,2,23,1,5,8,1
64,81975.0,1588,2,4954,2,1,14,1,6,4,3
55,38590.0,22,65,4824,3,1,4,0,1,2,0
75,15033.0,19,37,4488,1,0,5,0,1,3,0
61,62745.0,1117,89,4877,3,1,29,0,7,11,8
51,22212.0,69,49,4616,3,1,8,0,2,4,0
44,23661.0,23,46,4621,3,1,5,0,1,3,0
68,79761.0,605,32,4682,2,1,19,0,5,11,2
53,7500.0,57,54,4599,2,1,11,0,3,3,1
58,73455.0,2088,98,4658,1,0,22,1,6,10,5
68,64961.0,1009,97,4967,3,1,16,0,6,4,4
55,22804.0,26,75,4747,2,1,5,0,2,2,0
36,73687.0,1627,8,4627,2,0,22,2,3,9,9
68,61074.0,1102,37,5095,3,1,31,0,11,8,5
62,31686.0,17,31,4438,4,2,6,0,1,3,0
54,80134.0,1690,40,4819,3,1,16,4,5,6,3
73,75027.0,1390,74,4950,3,1,21,0,9,6,4
38,67546.0,2126,90,5081,2,0,20,0,4,5,10
57,65176.0,1531,57,5022,3,1,25,0,9,6,6
51,31160.0,64,59,4700,2,1,7,0,2,3,0
41,29938.0,26,52,4659,2,1,6,0,1,3,0
52,102692.0,1112,5,4864,1,0,29,5,6,13,9
68,26490.0,210,92,5059,2,0,11,0,3,5,1
59,75702.0,1148,77,5083,4,2,26,0,4,11,6
52,30899.0,33,35,5038,2,1,6,0,1,3,0
65,63342.0,1101,48,5035,3,1,19,1,8,5,3
62,45989.0,322,97,5029,2,1,16,0,3,7,2
62,18701.0,44,95,4804,3,2,10,0,2,4,0
69,40737.0,17,24,4617,4,3,4,0,1,2,0
47,15287.0,31,60,5041,2,1,6,2,1,2,1
58,69674.0,845,46,4817,3,2,25,0,10,10,2
56,44159.0,275,85,4426,3,1,15,0,4,6,1
48,37717.0,25,31,4997,3,1,4,0,1,2,0
74,43776.0,275,9,4925,4,2,17,1,5,4,2
60,38179.0,90,30,4886,4,2,11,0,3,3,1
63,80124.0,1495,47,4417,2,0,19,1,3,8,7
56,38097.0,184,70,5036,4,2,11,2,3,2,2
56,72940.0,981,13,4789,2,0,13,0,3,6,3
56,22070.0,67,11,4682,3,1,8,0,2,2,2
73,69267.0,1635,31,5059,1,0,14,1,3,5,4
43,31788.0,60,15,4515,2,1,10,0,3,4,0
51,61905.0,231,2,4559,3,1,12,0,4,4,2
66,29315.0,48,55,4498,4,2,10,0,2,4,0
63,33378.0,99,38,4922,3,2,9,0,2,4,0
63,66313.0,770,86,4700,3,1,23,0,6,12,3
70,60714.0,957,56,4942,1,0,23,1,7,10,4
45,77882.0,818,29,4474,2,0,12,0,3,5,3
40,69867.0,925,30,4867,1,0,17,2,3,8,5
58,63841.0,908,64,4848,2,1,22,0,9,9,3
45,24480.0,102,46,4917,3,1,10,0,3,4,0
50,51369.0,576,84,5026,3,1,16,0,8,4,2
80,37760.0,317,20,5081,2,0,13,0,4,6,1
52,65640.0,461,74,4534,3,1,15,0,5,8,1
51,44319.0,37,18,4487,4,2,7,0,2,3,0
52,30631.0,70,75,4766,3,1,7,0,3,2,1
74,75278.0,930,17,4930,2,0,23,0,6,13,3
70,50898.0,859,88,4951,4,2,33,0,6,12,2
60,79946.0,1478,19,4462,1,0,22,0,5,5,11
77,35416.0,390,62,4795,1,0,16,0,7,5,1
42,32414.0,52,11,4774,2,0,5,1,1,3,0
57,38361.0,137,74,4598,3,1,10,0,3,3,1
46,82497.0,1919,32,5020,2,0,19,1,2,9,7
55,16626.0,68,76,4579,4,2,9,0,3,3,0
61,29672.0,25,6,4888,4,2,4,0,0,3,0
74,55951.0,1374,62,5089,3,1,23,2,3,11,6
38,35388.0,32,20,4893,2,1,5,0,1,3,0
40,42386.0,100,43,4946,3,1,7,0,3,3,0
44,68627.0,825,45,4947,1,0,12,0,2,6,3
61,57912.0,916,34,4518,2,1,28,1,8,12,3
68,35246.0,62,53,4488,3,2,11,0,3,3,1
70,58821.0,728,44,4674,3,1,21,0,9,9,2
48,46377.0,90,89,4534,3,1,7,0,2,3,1
38,39747.0,273,43,4491,2,1,13,0,5,4,1
42,23976.0,66,68,4598,3,1,10,0,3,3,1
65,80950.0,1213,44,4872,2,0,23,1,6,9,7
60,27038.0,107,64,5063,1,0,7,1,3,3,0
79,77457.0,1157,85,4530,1,0,18,1,2,10,5
62,64100.0,546,93,4706,3,1,18,1,8,6,3
34,42670.0,241,12,4842,2,0,11,0,4,4,2
50,12571.0,53,86,4576,2,1,11,0,3,3,1
59,22574.0,37,28,4658,5,3,7,0,2,3,0
37,51381.5,1611,69,4805,2,0,24,2,6,12,5
50,70893.0,1508,42,4922,1,0,23,0,6,10,6
60,54198.0,235,13,4608,4,2,16,0,3,6,1
70,28839.0,32,86,4524,4,2,7,0,2,3,0
54,40321.0,102,59,4749,4,2,8,0,3,3,0
41,66503.0,401,30,5098,2,1,15,0,4,6,3
75,30833.0,28,33,4762,4,2,6,0,1,3,0
56,51381.5,1052,67,4724,4,3,21,2,2,10,3
55,64795.0,680,23,4942,3,1,21,0,3,12,3
52,34421.0,30,81,4777,3,1,4,0,1,2,0
61,47025.0,20,6,4554,3,2,4,0,1,2,0
65,64325.0,1307,41,4921,2,1,23,0,10,5,3
73,40464.0,630,78,4948,2,1,24,0,8,8,2
69,62187.0,1283,49,4773,2,0,18,0,4,5,8
50,14849.0,65,39,4776,2,1,9,0,2,4,0
42,27255.0,37,3,4648,3,1,5,0,1,3,0
76,54432.0,38,37,4830,5,3,5,0,1,3,0
40,29999.0,160,22,4915,2,1,12,0,3,4,1
43,24072.0,23,79,4853,2,1,4,0,1,2,0
37,33996.0,71,46,4705,1,0,6,0,1,3,1
70,66334.0,1161,82,4866,3,1,19,1,9,5,3
55,35178.0,59,10,4949,3,1,5,2,1,2,1
43,22010.0,33,51,4778,3,1,7,0,2,3,0
66,62204.0,946,38,5069,3,2,22,0,4,12,5
58,75693.0,1442,10,4984,1,0,22,4,11,6,4
54,30675.0,62,14,5008,3,1,5,0,1,3,0
61,83003.0,1674,18,4897,2,0,22,2,7,8,6
38,68655.0,1538,95,5102,1,0,21,0,4,11,5
40,41411.0,139,11,4618,1,0,8,0,2,4,1
57,55212.0,1182,65,4997,3,1,20,2,4,11,2
76,59292.0,507,71,4795,3,1,18,0,3,8,5
53,27190.0,18,13,4732,3,1,4,2,1,2,0
74,82623.0,940,58,4645,1,0,16,0,2,4,9
61,44300.0,42,65,4785,4,2,6,0,1,3,0
56,84835.0,1190,0,4427,1,0,15,1,4,6,4
55,30372.0,44,33,4965,3,2,8,0,2,3,0
50,33181.0,16,90,4591,3,1,4,1,1,2,0
69,71113.0,835,95,4608,3,1,26,0,6,9,7
40,71952.0,1443,93,4949,3,1,22,2,8,8,4
60,69759.0,1029,38,4658,1,0,18,1,4,5,6
52,72099.0,1188,18,5024,2,0,18,0,3,10,4
50,60000.0,1277,57,4968,2,1,24,0,11,5,3
48,38643.0,49,45,4626,3,2,7,0,2,3,0
71,50737.0,99,61,4828,3,1,7,1,2,4,0
57,68462.0,1670,6,4978,2,0,15,0,3,8,3
83,65073.0,900,65,4727,2,0,14,0,5,5,3
78,46681.0,425,52,4678,4,2,16,0,4,4,6
69,78618.0,2153,87,5053,2,0,22,1,4,10,7
57,62187.0,636,38,4513,2,1,21,0,6,10,2
48,28442.0,57,53,4539,4,2,10,0,2,4,1
48,37717.0,25,31,4997,3,1,4,0,1,2,0
59,51479.0,494,67,4962,4,2,22,0,6,6,3
57,54803.0,693,65,5091,2,1,19,0,6,9,2
66,79530.0,1348,64,4822,2,0,26,0,4,11,10
50,31615.0,51,82,4884,2,1,7,0,2,3,0
64,72025.0,1932,27,5003,2,0,16,0,4,8,3
51,52614.0,990,63,4989,2,1,16,0,2,8,4
42,35684.0,30,66,4482,3,1,5,0,1,3,0
51,48178.0,254,69,5023,4,2,16,0,5,4,1
56,29548.0,29,52,4718,2,1,5,1,1,2,1
60,63810.0,1371,45,5009,2,1,23,1,4,12,3
54,38578.0,73,2,4786,3,2,9,1,3,3,0
51,46098.0,120,86,5094,3,2,11,0,3,2,2
56,22585.0,81,23,4882,1,0,5,2,1,2,1
37,30279.0,37,13,4960,2,1,5,0,1,3,0
65,66426.0,1377,14,4684,3,1,20,0,3,10,5
57,30822.0,51,92,4794,2,1,5,0,1,3,0
57,33581.0,17,38,4951,4,2,4,0,1,2,0
41,19986.0,22,74,4641,3,1,4,0,0,3,0
72,27421.0,324,14,4978,1,0,14,0,4,6,1
53,35688.0,211,94,5090,5,3,16,0,4,4,1
45,36143.0,19,33,4505,2,1,4,0,0,2,1
55,10245.0,41,32,4824,2,1,8,0,1,2,2
58,43795.0,492,11,4670,3,1,17,2,7,4,3
66,63381.0,1005,78,5046,3,1,26,0,4,13,5
77,38823.0,114,56,5082,3,1,7,0,2,3,1
58,83664.0,1173,57,4831,3,2,19,0,2,12,2
47,90300.0,1738,7,4591,2,0,19,1,5,8,6
47,62499.0,222,0,4616,3,1,12,0,3,6,1
33,74293.0,1127,66,4470,1,0,16,0,5,6,4
80,51012.0,209,86,4851,2,0,10,0,4,4,1
58,70777.0,787,80,4538,3,1,23,0,5,12,3
35,68682.0,1598,56,4680,2,0,24,0,4,10,9
55,43824.0,186,18,5066,4,2,12,0,3,4,1
42,15345.0,47,51,5081,3,1,6,1,1,2,1
39,23442.0,27,71,4966,2,1,5,0,1,3,0
46,14515.0,96,71,5011,3,1,11,1,2,3,2
70,31395.0,64,80,4877,3,2,10,0,2,3,1
61,75276.0,1040,2,5054,2,0,23,0,9,9,4
52,42373.0,163,83,4732,3,2,13,0,2,5,1
66,30507.0,343,29,4889,2,0,11,0,5,4,1
71,55521.0,446,11,4664,4,3,24,2,6,6,3
61,48006.0,41,55,4434,4,2,5,0,1,3,0
54,27213.0,70,19,5082,2,1,9,1,2,4,0
55,65808.0,272,1,4444,3,2,14,0,5,5,1
52,30351.0,46,19,4802,3,1,6,0,3,2,0
63,50437.0,490,28,5034,4,2,19,0,7,8,1
44,23616.0,79,76,5003,2,1,8,1,3,3,0
50,53858.0,915,50,5011,3,1,17,0,4,6,3
71,66465.0,1485,1,4870,3,1,35,1,11,12,9
39,46923.0,369,90,5090,2,1,16,0,5,7,1
64,75072.0,1073,83,4936,3,1,19,0,5,8,4
83,75865.0,1242,73,4504,2,0,19,0,3,10,5
51,19789.0,78,24,4635,3,1,9,1,2,3,1
32,80134.0,1378,11,4549,2,0,21,4,2,11,7
45,91065.0,1474,33,4906,1,0,26,3,7,9,9
55,49505.0,751,4,4895,4,2,29,0,10,8,2
53,37401.0,48,14,4468,3,1,7,0,2,3,0
43,30096.0,45,30,4452,3,1,6,0,2,3,0
44,18492.0,10,75,4438,3,1,4,0,1,2,0
52,82584.0,1435,26,4804,2,0,16,3,3,8,4
85,93027.0,2119,77,4856,2,0,22,1,7,5,10
73,48686.0,20,8,4621,5,3,4,0,1,2,0
40,92910.0,1795,42,4480,2,0,27,3,6,13,7
37,75433.0,1188,28,4499,3,1,19,2,2,10,5
37,10404.0,43,52,4470,3,1,7,0,1,4,0
58,61314.0,1008,1,4844,3,1,24,0,5,12,5
65,84865.0,1688,1,4830,1,0,16,5,2,9,4
37,42387.0,684,42,5022,3,1,21,0,8,7,1
59,67309.0,1082,76,4936,4,2,39,0,9,9,6
62,75236.0,1068,27,4630,3,1,25,0,8,13,3
56,30015.0,57,28,4561,2,1,7,0,1,4,0
70,50943.0,46,49,4787,3,1,5,0,1,3,0
60,67272.0,733,12,4604,2,1,23,0,6,12,2
77,51529.0,467,14,4709,2,1,17,0,9,5,1
55,32011.0,122,89,4725,3,1,10,0,2,4,1
40,7500.0,36,96,4921,3,1,7,0,2,3,0
37,28691.0,34,56,4774,3,1,5,0,1,3,0
78,56223.0,156,72,4605,3,1,10,0,2,5,1
80,18100.0,14,14,4741,2,0,4,0,0,3,0
37,30279.0,37,13,4960,2,1,5,0,1,3,0
52,20130.0,34,99,4518,2,0,5,0,1,3,0
67,23295.0,20,72,4765,1,0,4,0,1,2,0
54,42618.0,192,92,4677,2,1,11,0,5,4,0
62,81246.0,1379,87,4596,1,0,17,2,4,7,5
50,24027.0,48,7,4799,3,1,7,0,2,3,0
73,55707.0,428,91,4603,3,1,16,0,3,9,2
71,57959.0,868,71,4837,2,1,27,0,4,11,7
57,56796.0,1001,24,4912,3,1,27,0,8,7,9
55,36230.0,59,17,4669,2,1,7,0,2,4,0
46,70829.0,431,87,4624,4,2,16,0,4,8,2
50,65991.0,971,21,5074,3,1,27,0,9,10,5
54,38988.0,348,90,5092,5,3,19,0,5,6,1
60,89572.0,2059,44,5066,1,0,24,3,7,9,7
42,42207.0,265,71,4868,3,1,14,2,4,5,1
74,50300.0,270,52,4449,3,1,13,0,2,8,1
44,66664.0,1289,78,5056,2,0,19,0,5,6,7
62,60597.0,893,2,4593,3,1,16,2,2,8,2
77,70165.0,926,60,4694,1,0,22,0,3,11,7
68,50520.0,135,25,4566,2,1,9,0,3,3,1
63,80124.0,1495,47,4417,2,0,19,1,3,8,7
51,33183.0,120,46,4539,3,1,9,0,4,3,0
57,66582.0,1288,83,4532,1,0,20,0,2,9,8
71,75261.0,1743,17,4846,2,0,17,3,5,5,6
56,31880.0,15,13,5020,2,1,4,0,1,2,0
75,53790.0,542,86,4529,4,2,20,0,7,8,2
55,49269.0,890,92,5097,3,1,25,0,7,12,3
51,61456.0,1388,47,4873,3,1,33,0,6,13,10
46,37406.0,17,18,4676,3,1,4,1,1,2,0
45,56937.0,906,81,5108,3,1,30,2,8,9,6
48,38415.0,44,91,4957,4,2,6,0,1,3,0
38,20518.0,25,58,4456,2,1,5,0,1,2,1
70,62503.0,973,40,4910,3,1,26,0,8,11,3
54,41644.0,31,67,4465,3,2,6,0,1,3,0
49,55842.0,518,19,4451,3,1,17,0,7,8,1
54,62010.0,530,93,5028,3,1,19,0,6,7,2
49,41124.0,506,41,5020,3,1,21,0,7,4,3
53,38961.0,70,60,4595,3,1,6,0,2,2,1
54,37760.0,54,54,4736,2,1,6,0,2,3,0
52,32233.0,296,26,5093,2,1,12,2,6,2,2
51,43057.0,266,30,4656,3,1,15,0,4,5,2
66,83151.0,747,93,5041,2,0,19,0,5,4,9
62,78825.0,895,35,5067,1,0,29,1,5,13,10
50,65104.0,1053,4,4641,3,1,17,0,3,7,5
52,60093.0,735,92,4782,3,1,21,0,7,10,2
57,14045.0,20,24,4568,3,1,5,0,1,3,0
74,28457.0,205,96,5023,1,0,10,0,4,4,1
68,78952.0,2092,11,5057,3,1,21,0,2,12,5
